epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,492.433,2.55603,2.73675,1.74309,0.14519,0.35297,0.0958,0.03215,2.82525,5.91408,1.98359,0.0700573,0.00332697,0.00332697
2,973.929,2.60037,2.53205,1.82189,0.17369,0.25279,0.13613,0.04347,2.59105,2.3195,1.80278,0.0399254,0.00652843,0.00652843
3,1753.79,2.48958,2.36853,1.7638,0.14373,0.25885,0.10542,0.03574,2.50532,3.46425,1.71967,0.0096615,0.00959789,0.00959789
4,2258,2.40989,2.24225,1.6756,0.33039,0.43218,0.2323,0.08543,2.26875,2.10152,1.60546,0.009406,0.009406,0.009406
5,2708.78,2.27033,2.14053,1.60273,0.38819,0.34284,0.21814,0.08962,2.31215,2.29169,1.62943,0.009208,0.009208,0.009208
6,3159.47,2.27559,2.08991,1.58267,0.41495,0.33425,0.31729,0.12402,2.16083,1.91465,1.52857,0.00901,0.00901,0.00901
7,3676.63,2.19303,1.97142,1.56441,0.29292,0.305,0.2372,0.0947,2.20866,2.02719,1.58972,0.008812,0.008812,0.008812
8,4202.7,2.20408,2.01344,1.55586,0.43428,0.28714,0.28643,0.11617,2.21974,1.9644,1.53682,0.008614,0.008614,0.008614
9,4714.11,2.13774,1.97032,1.50904,0.5684,0.3274,0.3889,0.1567,2.05095,1.81087,1.48314,0.008416,0.008416,0.008416
10,5262.08,2.10228,1.89845,1.48388,0.44844,0.34286,0.35207,0.14946,2.02113,1.82089,1.45671,0.008218,0.008218,0.008218
11,5712.24,2.06997,1.88771,1.49412,0.55193,0.42587,0.42272,0.16914,1.99976,1.77003,1.42192,0.00802,0.00802,0.00802
12,6166.36,2.01394,1.83383,1.44293,0.49678,0.35767,0.33427,0.1523,2.02042,1.79917,1.44184,0.007822,0.007822,0.007822
13,6625.44,2.00654,1.8396,1.44153,0.51175,0.41689,0.43969,0.2188,1.97383,1.67361,1.39784,0.007624,0.007624,0.007624
