epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7825,0.66411,2.36364,1.16427,0.00333,1,0.65148,0.43266,0.49409,3.21727,0.88444,0.00016,0.00016,0.00016
2,88.9737,0.5283,1.46699,1.06609,0.00829,1,0.73136,0.51668,0.60899,3.09553,1.0926,0.000333268,0.000333268,0.000333268
3,130.567,0.52968,1.20697,1.03327,1,0.52465,0.65966,0.38126,0.76582,3.15077,1.2138,0.000499408,0.000499408,0.000499408
4,171.047,0.59831,1.12819,1.0416,0.58289,0.69883,0.58134,0.35735,0.93995,3.17029,1.39727,0.00065842,0.00065842,0.00065842
5,211,0.59258,1.12903,1.06058,0.25064,0.5,0.35789,0.15265,1.15294,3.25805,1.63309,0.000810304,0.000810304,0.000810304
6,251.276,0.6472,1.21685,1.08313,0.79835,0.79257,0.83583,0.47205,1.40396,3.24572,1.64738,0.00095506,0.00095506,0.00095506
7,290.985,0.64731,1.13215,1.1072,1,0.69432,0.87762,0.52199,1.14512,2.71245,1.56986,0.00109269,0.00109269,0.00109269
8,331.092,0.5798,1.10715,1.07321,0.48717,0.5,0.3827,0.14401,2.31292,3.17689,3.08864,0.00122319,0.00122319,0.00122319
9,370.855,0.68567,1.14192,1.1463,0.40914,0.6,0.379,0.15449,2.15681,3.56754,2.79335,0.00134656,0.00134656,0.00134656
10,411.766,0.72656,1.1954,1.12067,0.61201,0.8,0.71884,0.37509,1.40498,2.66099,1.94552,0.0014628,0.0014628,0.0014628
11,452.35,0.66279,1.08646,1.13555,0.66468,0.7,0.73048,0.32945,1.73147,3.78694,2.32314,0.00157192,0.00157192,0.00157192
12,492.525,0.67503,0.98679,1.13636,0.77622,0.8,0.8954,0.38561,1.78143,3.1586,2.2647,0.0015644,0.0015644,0.0015644
13,531.862,0.67577,1.05387,1.13476,0.68634,0.87672,0.85423,0.38809,1.4508,3.96221,1.91867,0.0015248,0.0015248,0.0015248
14,571.728,0.63204,0.98626,1.07329,0.79674,0.8,0.8533,0.37361,1.45947,2.88102,1.8586,0.0014852,0.0014852,0.0014852
15,611.086,0.66314,1.04781,1.11564,0.8886,0.79792,0.84248,0.40382,1.55041,2.53817,1.88566,0.0014456,0.0014456,0.0014456
