Timestamp,Frame,TrackID,Class,Confidence,Gender,Age,X,Y,Width,Height
0.03,1,1,person,0.511,Man,34,642,381,65,118
0.07,2,1,person,0.642,Man,34,641,381,55,120
0.1,3,1,person,0.622,Man,34,641,381,51,123
0.14,4,1,person,0.604,Man,34,641,380,50,120
0.14,4,3,person,0.618,Man,25,598,321,32,78
0.21,6,1,person,0.565,Man,34,646,382,49,118
0.24,7,1,person,0.54,Man,34,650,386,48,115
0.28,8,1,person,0.622,Man,34,653,385,48,123
0.28,8,4,person,0.584,Man,28,592,330,31,81
0.31,9,4,person,0.681,Man,28,591,330,28,80
0.34,10,4,person,0.579,Man,28,587,329,30,80
0.38,11,1,person,0.57,Man,34,659,382,55,124
0.41,12,1,person,0.647,Man,34,661,384,56,121
0.41,12,4,person,0.585,Man,28,581,332,31,79
0.45,13,1,person,0.713,Man,34,662,384,51,117
0.45,13,4,person,0.511,Man,28,579,332,29,74
0.48,14,1,person,0.623,Man,34,665,384,47,113
0.52,15,1,person,0.608,Man,34,668,383,44,111
0.52,15,4,person,0.544,Man,28,573,328,33,86
0.55,16,1,person,0.671,Man,34,670,382,42,108
0.59,17,1,person,0.664,Man,34,671,384,44,106
0.59,17,4,person,0.582,Man,28,568,326,35,81
0.62,18,1,person,0.635,Man,34,672,385,47,107
0.62,18,4,person,0.655,Man,28,567,329,32,77
0.66,19,1,person,0.559,Man,34,675,385,45,104
0.66,19,4,person,0.576,Man,28,567,332,29,75
0.69,20,1,person,0.558,Man,34,678,383,41,92
0.69,20,4,person,0.614,Man,28,564,332,30,81
0.72,21,1,person,0.606,Man,34,678,381,48,103
0.76,22,1,person,0.608,Man,34,680,382,51,108
0.79,23,1,person,0.64,Man,34,683,384,52,107
0.79,23,4,person,0.638,Man,28,557,332,33,80
0.83,24,1,person,0.672,Man,34,685,385,53,109
0.83,24,4,person,0.636,Man,28,554,333,32,82
0.86,25,1,person,0.776,Man,34,688,385,48,111
0.9,26,1,person,0.645,Man,34,691,384,44,107
0.93,27,1,person,0.732,Man,34,692,385,44,104
0.93,27,4,person,0.623,Man,28,547,328,42,89
0.97,28,1,person,0.704,Man,34,693,386,54,106
0.97,28,4,person,0.653,Man,28,545,329,47,89
1.0,29,1,person,0.693,Man,34,692,389,61,105
1.0,29,4,person,0.583,Man,28,543,331,40,85
1.03,30,1,person,0.624,Man,34,693,388,60,107
1.03,30,4,person,0.535,Man,28,541,333,34,79
1.07,31,1,person,0.618,Man,34,696,385,55,111
1.07,31,4,person,0.539,Man,28,539,333,33,80
1.1,32,1,person,0.65,Man,34,697,384,65,114
1.1,32,4,person,0.686,Man,28,538,334,34,84
1.14,33,1,person,0.635,Man,34,699,384,55,110
1.14,33,4,person,0.607,Man,28,535,334,41,85
1.17,34,1,person,0.622,Man,34,702,385,51,110
1.17,34,4,person,0.678,Man,28,534,333,41,85
1.21,35,1,person,0.741,Man,34,704,386,51,111
1.21,35,4,person,0.641,Man,28,531,335,36,84
1.24,36,1,person,0.762,Man,34,705,384,46,114
1.24,36,4,person,0.617,Man,28,530,335,35,88
1.28,37,1,person,0.72,Man,34,707,382,45,113
1.31,38,1,person,0.634,Man,34,709,382,58,112
1.31,38,4,person,0.607,Man,28,526,328,43,93
1.34,39,1,person,0.709,Man,34,709,383,48,109
1.34,39,4,person,0.662,Man,28,525,327,38,90
1.38,40,1,person,0.752,Man,34,710,385,45,110
1.38,40,4,person,0.743,Man,28,524,328,34,87
1.41,41,1,person,0.718,Man,34,709,384,47,112
