frame_no,person_id,confidence,x1,y1,x2,y2
0,1,0.82,646,383,698,498
0,2,0.74,605,321,635,405
1,1,0.85,647,383,692,501
1,2,0.69,602,322,635,408
2,1,0.81,649,383,690,504
2,2,0.75,601,323,632,407
3,1,0.79,650,381,690,501
3,2,0.78,598,322,629,404
4,1,0.83,650,384,691,499
4,2,0.79,595,322,625,405
5,1,0.83,650,385,693,497
5,2,0.75,593,322,624,406
6,1,0.83,650,385,696,501
6,2,0.66,593,324,622,408
7,1,0.79,652,385,698,502
7,2,0.73,592,326,623,411
8,1,0.77,653,383,701,497
8,2,0.78,590,324,620,412
9,1,0.76,656,383,705,494
9,2,0.8,587,324,619,409
10,1,0.78,658,382,711,498
10,2,0.76,585,326,616,410
11,1,0.79,660,384,718,500
11,2,0.78,582,330,613,411
12,1,0.82,662,383,713,500
12,2,0.62,578,331,612,413
13,1,0.85,666,383,711,499
13,2,0.73,576,328,610,415
14,1,0.84,668,382,711,494
14,2,0.76,574,326,608,413
15,1,0.82,670,383,711,490
15,2,0.79,570,324,605,409
16,1,0.82,671,384,714,490
16,2,0.62,567,323,605,409
17,1,0.82,673,385,720,493
17,2,0.75,565,328,601,409
18,1,0.79,676,385,723,493
18,2,0.74,567,330,597,409
19,1,0.71,678,382,723,489
19,2,0.74,562,329,595,413
20,1,0.65,680,380,732,501
20,2,0.77,559,327,598,416
21,1,0.76,681,381,736,504
21,2,0.74,557,327,599,414
22,1,0.57,683,383,738,496
22,2,0.76,556,329,598,413
23,1,0.83,687,384,740,498
23,2,0.61,557,331,590,414
24,1,0.83,690,384,735,497
24,2,0.74,554,332,586,415
25,1,0.78,692,383,733,493
25,2,0.74,551,331,585,416
26,1,0.82,691,384,734,490
26,2,0.74,548,330,584,417
27,1,0.81,692,386,736,491
27,2,0.75,546,330,590,418
28,1,0.78,692,387,745,495
28,2,0.71,545,331,584,417
29,1,0.64,693,387,746,496
29,2,0.67,542,333,576,416
30,1,0.85,695,385,748,502
30,2,0.69,540,334,571,416
31,1,0.84,697,383,753,495
31,2,0.78,539,333,576,422
32,1,0.8,700,384,755,491
32,2,0.77,536,333,581,423
33,1,0.81,703,385,755,495
33,2,0.77,534,333,579,420
34,1,0.81,704,386,756,497
34,2,0.74,533,334,577,420
35,1,0.81,705,384,751,500
35,2,0.71,529,334,572,423
36,1,0.8,705,383,755,500
36,2,0.71,526,333,569,426
37,1,0.74,705,382,757,494
37,2,0.79,525,329,565,421
38,1,0.8,708,384,753,493
38,2,0.78,526,327,564,417
39,1,0.8,709,385,752,495
39,2,0.78,525,328,563,416
40,1,0.64,709,384,754,475
40,2,0.68,524,329,556,414
41,1,0.81,708,383,756,487
41,2,0.58,524,331,560,417
42,1,0.73,709,382,761,487
42,2,0.79,522,330,563,418
43,1,0.84,709,383,764,486
43,2,0.8,517,329,562,419
44,1,0.78,709,383,763,493
44,2,0.75,516,329,571,420
45,1,0.83,710,382,758,491
45,2,0.65,516,331,555,421
46,1,0.77,711,380,764,495
46,2,0.67,513,333,548,423
47,1,0.82,712,379,770,494
47,2,0.77,510,333,555,426
48,1,0.81,713,379,774,494
48,2,0.61,508,333,547,413
49,1,0.81,711,380,774,491
49,2,0.74,505,333,546,421
50,1,0.83,710,381,770,492
50,2,0.59,506,334,539,424
51,1,0.72,710,381,771,494
51,2,0.68,505,336,535,427
52,1,0.83,712,378,773,496
52,2,0.73,501,336,541,428
53,1,0.72,714,375,775,491
53,2,0.79,495,334,543,430
54,1,0.78,715,374,774,481
54,2,0.82,492,332,550,430
55,1,0.64,716,374,766,468
55,2,0.83,492,332,550,428
56,1,0.78,717,373,761,479
56,2,0.84,492,333,550,427
57,1,0.81,718,370,765,482
57,2,0.77,493,334,546,427
58,1,0.85,717,367,774,483
58,2,0.71,493,333,539,427
59,1,0.68,718,365,778,478
59,2,0.79,493,331,534,424
60,1,0.82,718,365,778,475
60,2,0.72,491,329,536,424
61,1,0.82,718,365,773,474
61,2,0.77,489,328,537,423
62,1,0.82,719,365,770,475
62,2,0.45,490,329,526,423
63,1,0.82,720,361,772,477
63,2,0.62,485,329,520,411
64,1,0.83,721,357,780,479
64,2,0.82,479,328,532,421
65,1,0.78,720,356,782,474
65,2,0.8,477,325,533,424
66,1,0.84,720,357,781,471
66,2,0.64,477,323,522,422
67,1,0.78,721,358,774,454
67,2,0.74,479,323,536,422
68,1,0.83,722,357,771,463
69,1,0.84,722,355,781,466
69,2,0.74,481,325,530,422
70,1,0.8,719,353,791,470
70,2,0.71,478,324,526,421
71,1,0.83,719,353,790,467
71,2,0.81,479,321,526,419
72,1,0.83,720,354,785,466
72,2,0.67,479,320,520,417
73,1,0.85,720,355,776,467
73,2,0.82,479,320,531,416
74,1,0.85,719,353,782,469
