frame_no,person_id,confidence,x1,y1,x2,y2
0,2,0.65,63,449,78,476
0,3,0.58,353,426,366,453
0,4,0.51,375,424,385,449
0,5,0.5,393,422,404,449
0,7,0.47,342,364,351,383
0,8,0.46,405,421,415,447
0,9,0.45,339,410,349,437
0,10,0.43,10,416,22,445
0,14,0.29,196,309,205,344
1,2,0.64,65,449,80,476
1,3,0.5,354,426,367,456
1,4,0.28,375,424,385,449
1,5,0.44,394,422,405,447
1,7,0.47,343,364,351,382
1,8,0.51,406,421,416,447
1,9,0.48,340,409,351,433
1,10,0.27,12,416,23,443
2,2,0.67,66,448,81,477
2,3,0.6,355,426,368,457
2,4,0.32,376,423,387,453
2,5,0.42,395,421,406,447
2,7,0.42,343,363,351,383
2,8,0.53,407,421,417,445
2,9,0.46,341,409,352,431
2,10,0.28,13,415,25,444
3,2,0.72,67,448,82,477
3,3,0.54,355,426,369,452
3,4,0.57,377,423,388,451
3,5,0.33,396,421,407,447
3,7,0.31,343,364,353,386
3,8,0.58,408,420,418,445
3,9,0.38,342,409,354,431
4,2,0.7,68,447,83,477
4,3,0.55,357,425,369,450
4,4,0.65,378,423,389,450
4,5,0.42,397,421,409,448
4,7,0.4,344,364,353,388
4,8,0.52,409,419,419,445
4,9,0.32,343,408,354,428
5,2,0.7,71,446,85,477
5,3,0.66,357,425,371,453
5,4,0.66,379,423,390,448
5,5,0.49,398,420,410,447
5,7,0.43,344,364,354,388
5,8,0.52,410,418,420,446
5,9,0.42,344,408,356,435
5,10,0.4,17,413,29,439
6,2,0.71,72,445,86,477
6,3,0.64,359,425,372,452
6,4,0.67,380,423,391,448
6,5,0.62,399,419,411,447
6,7,0.35,345,365,354,388
6,8,0.56,411,418,421,445
6,9,0.35,345,408,356,436
6,10,0.45,19,412,30,439
7,2,0.68,73,444,88,477
7,3,0.63,360,424,373,451
7,4,0.71,382,423,392,449
7,5,0.63,400,419,412,446
7,7,0.33,345,366,355,388
7,8,0.66,412,417,422,443
7,9,0.43,346,408,357,435
7,10,0.46,21,412,32,438
8,2,0.64,75,444,89,477
8,3,0.58,361,424,373,447
8,4,0.67,383,423,393,448
8,5,0.55,401,418,413,445
8,7,0.34,346,366,356,388
8,8,0.63,413,416,423,441
8,9,0.34,348,408,359,431
8,10,0.45,23,411,34,437
8,22,0.35,392,383,401,410
9,2,0.58,76,443,91,477
9,3,0.49,363,424,375,447
9,4,0.64,384,423,394,447
9,5,0.57,402,416,414,443
9,7,0.36,347,366,357,387
9,8,0.62,414,416,424,440
9,10,0.34,25,411,36,437
9,22,0.31,393,383,402,411
10,2,0.65,78,443,93,477
10,3,0.57,366,424,376,446
10,4,0.53,385,422,395,446
10,5,0.52,404,416,416,443
